,City Country,Counts,Longitude_y,Latitude_y
120745,"Bulgaria, Bulgaria",9,25.4856617,42.6073975
120754,"North Dalmatia, Croatia",12,16.708927928802815,43.42326095
120766,"Northern Cape, South Africa",2,21.2051361,-29.573402
120768,"Vinho da Mesa, Portugal",1,-7.62867,40.49556
120769,"Hvar, Croatia",3,16.4418127,43.1723573
120772,"Cephalonia, Greece",8,20.537299749672783,38.2660322
120780,"Lemesos, Cyprus",1,33.0332657,34.6852901
120781,"Cahul, Moldova",3,28.1946583,45.9044087
120784,"Cyclades, Greece",2,25.50046,37.04314
120786,"Breede River Valley, South Africa",1,19.4642801,-33.7081404
120787,"Elim, South Africa",2,30.0604292,-23.1597507
120789,"Ticino, Switzerland",1,8.7525902,46.3351913
120790,"Moscatel do Douro, Portugal",5,-8.67053,41.15127
120795,"Vlootenburg, South Africa",1,,
120796,"Brda, Slovenia",7,13.548910233619523,46.0162019
120803,"Dingač, Croatia",1,17.35333,42.92556
120804,"Morocco, Morocco",6,-7.3362482,31.1728205
120810,"Achaia, Greece",5,21.5640808,38.1051237
120815,"Polkadraai Hills, South Africa",3,18.704418,-33.949609
120818,"Bot River, South Africa",5,18.51642,-34.050297
120823,"Rhode Island, United States",1,-71.27037832834264,41.5524614
120824,"Amyndeon, Greece",5,,
120829,"Vânju Mare, Romania",2,22.8712672,44.4250326
120831,"Hrvatsko Primorje, Croatia",1,14.7034412,45.5317845
120832,"Central Greece, Greece",1,23.161852844371445,38.5624595
120833,"Dolenjska, Slovenia",1,14.337049,45.7759083
120834,"Österreichischer Perlwein, Austria",4,15.432388,46.978555
120838,"Requinoa, Chile",2,-70.8175128,-34.2848586
120840,"Mavrodaphne de Cephalonie, Greece",1,-43.518246,-22.935024
120841,"Goumenissa, Greece",3,22.4519413,40.9466441
120844,"Portugal, Portugal",4,-8.3156107,37.4005123
120848,"Messinia, Greece",1,22.113446177614726,37.043788
120849,"Lakonia, Greece",2,22.4333,37.0833
120851,"Markopoulo, Greece",1,23.9323453,37.8828306
120852,"Vinho Licoroso, Portugal",2,-7.62867,40.49556
120854,"Campanha, Brazil",1,-45.401986,-21.8361108
